,BibNumber,Category Group,checkout_date,checkout_month
1304585,2844150,Nonfiction,2016-08-30,8
1569921,2529650,Fiction,2016-01-07,1
2325952,3144362,Nonfiction,2016-06-27,6
1426687,1887406,Nonfiction,2016-05-04,5
5776748,2994405,Fiction,2016-06-18,6
5295384,3167746,Fiction,2016-07-16,7
5390373,2927859,Fiction,2016-04-26,4
5257387,2297842,Fiction,2016-06-22,6
3602795,2735026,Fiction,2016-04-16,4
1191144,2792197,Nonfiction,2016-04-05,4
4401792,3133256,Fiction,2016-08-31,8
2654486,3018543,Nonfiction,2016-01-31,1
3242922,3117536,Fiction,2016-06-01,6
2685719,2120528,Nonfiction,2016-08-26,8
2342627,2960647,Nonfiction,2016-10-18,10
2439719,3155081,Nonfiction,2016-05-11,5
4421834,2935354,Fiction,2016-02-12,2
3844266,3194840,Fiction,2016-08-07,8
2112201,3124989,Fiction,2016-03-05,3
5890588,3161221,Fiction,2016-08-31,8
3252822,3154171,Fiction,2016-10-13,10
3798400,3171390,Fiction,2016-05-02,5
1264522,2880963,Nonfiction,2016-03-11,3
5657568,2562120,Nonfiction,2016-03-05,3
3593493,3091019,Fiction,2016-09-07,9
5580677,2431127,Fiction,2016-06-14,6
1269502,1834343,Nonfiction,2016-10-01,10
1344014,3087207,Nonfiction,2016-01-30,1
6077794,2806552,Fiction,2016-09-07,9
